activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration,note
Walk/Bike/Pack/Look,Emotional Work,1.73836E+12,Fri Jan 31 22:49:00 GMT+01:00 2025,1.73836E+12,Sat Feb 01 00:09:02 GMT+01:00 2025,4794547,1 h 19 min,
Nature,Screen Relaxation,1.73836E+12,Fri Jan 31 23:31:00 GMT+01:00 2025,1.73836E+12,Fri Jan 31 23:32:07 GMT+01:00 2025,60000,1 min,
Hobbies,Work,1.73836E+12,Fri Jan 31 23:37:00 GMT+01:00 2025,1.73837E+12,Sat Feb 01 01:05:18 GMT+01:00 2025,5290529,1 h 28 min,
Sleep,Sleep,1.73837E+12,Sat Feb 01 00:37:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 09:10:00 GMT+01:00 2025,30780000,8 h 33 min,
Coding,Active,1.7384E+12,Sat Feb 01 09:10:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 09:11:07 GMT+01:00 2025,60000,1 min,
Health,Emotional Avoidance,1.7384E+12,Sat Feb 01 09:26:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 09:30:02 GMT+01:00 2025,235255,3 min,
Work Distractions,Work,1.7384E+12,Sat Feb 01 09:40:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 09:53:48 GMT+01:00 2025,820866,13 min,
Job Search,Emotional Work,1.7384E+12,Sat Feb 01 10:00:00 GMT+01:00 2025,1.73841E+12,Sat Feb 01 11:31:06 GMT+01:00 2025,5459084,1 h 30 min,
Private Impact,Connect,1.7384E+12,Sat Feb 01 10:18:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 11:07:01 GMT+01:00 2025,2933639,48 min,
Home,Active,1.7384E+12,Sat Feb 01 10:28:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 10:29:07 GMT+01:00 2025,60000,1 min,
Wonder,Work,1.7384E+12,Sat Feb 01 10:41:00 GMT+01:00 2025,1.7384E+12,Sat Feb 01 10:42:07 GMT+01:00 2025,60000,1 min,
Friends & Family,Emotional Avoidance,1.73842E+12,Sat Feb 01 14:45:00 GMT+01:00 2025,1.73842E+12,Sat Feb 01 15:46:09 GMT+01:00 2025,3661665,1 h 1 min,
Finance & Paperwork,Emotional Avoidance,1.73842E+12,Sat Feb 01 15:28:00 GMT+01:00 2025,1.73842E+12,Sat Feb 01 16:10:00 GMT+01:00 2025,2513081,41 min,
AWS AI,Responsibilities ,1.73842E+12,Sat Feb 01 15:31:00 GMT+01:00 2025,1.73842E+12,Sat Feb 01 15:38:32 GMT+01:00 2025,445168,7 min,
Cooking,Responsibilities ,1.73842E+12,Sat Feb 01 16:00:00 GMT+01:00 2025,1.73842E+12,Sat Feb 01 16:14:19 GMT+01:00 2025,851633,14 min,
Positive Reframing,Relax & Wonder,1.73842E+12,Sat Feb 01 16:40:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 18:15:26 GMT+01:00 2025,5718955,1 h 35 min,
Sailing,Emotional Work,1.73843E+12,Sat Feb 01 16:51:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 17:03:22 GMT+01:00 2025,699209,11 min,
Social,Screen Relaxation,1.73843E+12,Sat Feb 01 16:55:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 17:36:59 GMT+01:00 2025,2475764,41 min,
Friends & Family,Work,1.73843E+12,Sat Feb 01 17:05:00 GMT+01:00 2025,1.73844E+12,Sat Feb 01 20:22:36 GMT+01:00 2025,11813513,3 h 16 min,
Arts & Culture,Work,1.73843E+12,Sat Feb 01 17:10:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 17:11:43 GMT+01:00 2025,60000,1 min,
Work Architecture ,Screen Relaxation,1.73843E+12,Sat Feb 01 17:15:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 17:16:43 GMT+01:00 2025,60000,1 min,
Screen-free Meals/Breaks,Relax & Wonder,1.73843E+12,Sat Feb 01 17:30:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 19:12:03 GMT+01:00 2025,6080475,1 h 41 min,
Work-Tech Play,Connect,1.73843E+12,Sat Feb 01 17:59:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 18:00:43 GMT+01:00 2025,60000,1 min,
Needed Tech Config,Connect,1.73843E+12,Sat Feb 01 18:09:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 18:35:07 GMT+01:00 2025,1524027,25 min,
Guilt free Media,Relax & Wonder,1.73843E+12,Sat Feb 01 19:09:00 GMT+01:00 2025,1.73843E+12,Sat Feb 01 19:10:43 GMT+01:00 2025,60000,1 min,
Walk/Bike/Pack/Look,Connect,1.73844E+12,Sat Feb 01 20:16:00 GMT+01:00 2025,1.73844E+12,Sat Feb 01 20:46:08 GMT+01:00 2025,1765686,29 min,
Home,Responsibilities ,1.73844E+12,Sat Feb 01 21:36:00 GMT+01:00 2025,1.73845E+12,Sun Feb 02 00:14:13 GMT+01:00 2025,9450577,2 h 37 min,
Daily Planning,Work,1.73845E+12,Sat Feb 01 23:34:00 GMT+01:00 2025,1.73846E+12,Sun Feb 02 01:17:20 GMT+01:00 2025,6157139,1 h 42 min,
Sports,Relax & Wonder,1.73845E+12,Sat Feb 01 23:54:00 GMT+01:00 2025,1.73846E+12,Sun Feb 02 01:41:28 GMT+01:00 2025,6405654,1 h 46 min,
Shop/Book/Plan,Work,1.73845E+12,Sat Feb 01 23:59:00 GMT+01:00 2025,1.73845E+12,Sun Feb 02 00:00:43 GMT+01:00 2025,60000,1 min,
Hygiene & Styling,Screen Relaxation,1.73845E+12,Sun Feb 02 01:07:00 GMT+01:00 2025,1.73845E+12,Sun Feb 02 01:08:43 GMT+01:00 2025,60000,1 min,
Social Dating Chances,Emotional Avoidance,1.73846E+12,Sun Feb 02 02:42:00 GMT+01:00 2025,1.73846E+12,Sun Feb 02 02:43:43 GMT+01:00 2025,60000,1 min,
Sleep,Sleep,1.73846E+12,Sun Feb 02 03:11:00 GMT+01:00 2025,1.73848E+12,Sun Feb 02 08:57:00 GMT+01:00 2025,20760000,5 h 46 min,
Hygiene & Styling,Responsibilities ,1.73848E+12,Sun Feb 02 08:57:00 GMT+01:00 2025,1.73848E+12,Sun Feb 02 08:58:43 GMT+01:00 2025,60000,1 min,
Play music,Active,1.73848E+12,Sun Feb 02 09:03:00 GMT+01:00 2025,1.73849E+12,Sun Feb 02 10:56:59 GMT+01:00 2025,6796361,1 h 53 min,
Health,Responsibilities ,1.73848E+12,Sun Feb 02 09:23:00 GMT+01:00 2025,1.73849E+12,Sun Feb 02 10:46:41 GMT+01:00 2025,4977810,1 h 22 min,
Screen-free Meals/Breaks,Relax & Wonder,1.73849E+12,Sun Feb 02 10:03:00 GMT+01:00 2025,1.73849E+12,Sun Feb 02 10:35:47 GMT+01:00 2025,1924016,32 min,
Meditate Affir Bodyscan,Active,1.73849E+12,Sun Feb 02 11:11:00 GMT+01:00 2025,1.73849E+12,Sun Feb 02 11:57:31 GMT+01:00 2025,2747833,45 min,
AWS ML Associate,Emotional Avoidance,1.73849E+12,Sun Feb 02 11:45:00 GMT+01:00 2025,1.73849E+12,Sun Feb 02 11:46:43 GMT+01:00 2025,60000,1 min,
AWS AI,Relax & Wonder,1.7385E+12,Sun Feb 02 12:46:00 GMT+01:00 2025,1.7385E+12,Sun Feb 02 13:48:10 GMT+01:00 2025,3686803,1 h 1 min,
Distracting Media,Emotional Work,1.7385E+12,Sun Feb 02 13:10:00 GMT+01:00 2025,1.7385E+12,Sun Feb 02 14:50:50 GMT+01:00 2025,6007232,1 h 40 min,
Friends & Family,Work,1.7385E+12,Sun Feb 02 14:12:00 GMT+01:00 2025,1.7385E+12,Sun Feb 02 14:13:43 GMT+01:00 2025,60000,1 min,
Sailing,Emotional Avoidance,1.7385E+12,Sun Feb 02 14:19:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 15:27:42 GMT+01:00 2025,4079202,1 h 7 min,
Work Training,Work,1.7385E+12,Sun Feb 02 14:46:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 16:38:19 GMT+01:00 2025,6696002,1 h 51 min,
Health,Connect,1.7385E+12,Sun Feb 02 14:58:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 15:17:26 GMT+01:00 2025,1123465,18 min,
Sailing,Emotional Work,1.73851E+12,Sun Feb 02 15:05:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 16:41:20 GMT+01:00 2025,5737699,1 h 35 min,
Process Emotions,Emotional Work,1.73851E+12,Sun Feb 02 15:33:00 GMT+01:00 2025,1.73852E+12,Sun Feb 02 19:35:02 GMT+01:00 2025,14479651,4 h 1 min,
Tech News,Emotional Avoidance,1.73851E+12,Sun Feb 02 15:41:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 16:21:51 GMT+01:00 2025,2408558,40 min,
Walk/Bike/Pack/Look,Emotional Work,1.73851E+12,Sun Feb 02 16:18:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 17:33:09 GMT+01:00 2025,4466517,1 h 14 min,
Work Distractions,Active,1.73851E+12,Sun Feb 02 16:47:00 GMT+01:00 2025,1.73851E+12,Sun Feb 02 16:48:43 GMT+01:00 2025,60000,1 min,
Work Training,Emotional Work,1.73851E+12,Sun Feb 02 16:54:00 GMT+01:00 2025,1.73852E+12,Sun Feb 02 17:54:32 GMT+01:00 2025,3589590,59 min,
Arts & Culture,Work,1.73851E+12,Sun Feb 02 17:05:00 GMT+01:00 2025,1.73852E+12,Sun Feb 02 18:24:46 GMT+01:00 2025,4743439,1 h 19 min,
Home,Work,1.73851E+12,Sun Feb 02 17:32:00 GMT+01:00 2025,1.73852E+12,Sun Feb 02 18:33:29 GMT+01:00 2025,3645795,1 h 0 min,
Private Impact,Relax & Wonder,1.73852E+12,Sun Feb 02 18:01:00 GMT+01:00 2025,1.73852E+12,Sun Feb 02 18:02:43 GMT+01:00 2025,60000,1 min,
Shop/Book/Plan,Work,1.73852E+12,Sun Feb 02 18:10:00 GMT+01:00 2025,1.73852E+12,Sun Feb 02 19:12:16 GMT+01:00 2025,3693432,1 h 1 min,
Distracting Media,Relax & Wonder,1.73854E+12,Sun Feb 02 23:55:00 GMT+01:00 2025,1.73855E+12,Mon Feb 03 02:23:50 GMT+01:00 2025,8886753,2 h 28 min,
Sleep,Sleep,1.73854E+12,Mon Feb 03 00:16:00 GMT+01:00 2025,1.73856E+12,Mon Feb 03 06:02:00 GMT+01:00 2025,20760000,5 h 46 min,
Social Dating Chances,Work,1.73856E+12,Mon Feb 03 06:02:00 GMT+01:00 2025,1.73856E+12,Mon Feb 03 07:20:58 GMT+01:00 2025,4695321,1 h 18 min,
Social,Active,1.73856E+12,Mon Feb 03 06:27:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 08:21:21 GMT+01:00 2025,6818212,1 h 53 min,
Tech News,Screen Relaxation,1.73856E+12,Mon Feb 03 06:32:00 GMT+01:00 2025,1.73856E+12,Mon Feb 03 07:03:43 GMT+01:00 2025,1859923,30 min,
Joy Architecture,Relax & Wonder,1.73856E+12,Mon Feb 03 06:54:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 08:33:44 GMT+01:00 2025,5941157,1 h 39 min,
Public Speaking,Responsibilities ,1.73856E+12,Mon Feb 03 07:00:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 08:07:18 GMT+01:00 2025,3994924,1 h 6 min,
Process Emotions,Connect,1.73856E+12,Mon Feb 03 07:04:00 GMT+01:00 2025,1.73856E+12,Mon Feb 03 07:05:43 GMT+01:00 2025,60000,1 min,
AWS AI,Emotional Avoidance,1.73856E+12,Mon Feb 03 07:26:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 08:36:00 GMT+01:00 2025,4157250,1 h 9 min,
Meditate Affir Bodyscan,Work,1.73856E+12,Mon Feb 03 07:30:00 GMT+01:00 2025,1.73856E+12,Mon Feb 03 07:31:43 GMT+01:00 2025,60000,1 min,
Dancing,Emotional Work,1.73856E+12,Mon Feb 03 07:39:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 07:43:26 GMT+01:00 2025,222867,3 min,
Play music,Screen Relaxation,1.73857E+12,Mon Feb 03 08:13:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 09:14:06 GMT+01:00 2025,3622992,1 h 0 min,
Job Search,Work,1.73857E+12,Mon Feb 03 08:25:00 GMT+01:00 2025,1.73857E+12,Mon Feb 03 09:33:32 GMT+01:00 2025,4069263,1 h 7 min,
Sleep,Sleep,1.73857E+12,Mon Feb 03 08:45:00 GMT+01:00 2025,1.73858E+12,Mon Feb 03 10:54:00 GMT+01:00 2025,7740000,2 h 9 min,
Coding,Emotional Work,1.73858E+12,Mon Feb 03 10:54:00 GMT+01:00 2025,1.73858E+12,Mon Feb 03 10:55:43 GMT+01:00 2025,60000,1 min,
Hygiene & Styling,Connect,1.73858E+12,Mon Feb 03 11:04:00 GMT+01:00 2025,1.73858E+12,Mon Feb 03 13:04:41 GMT+01:00 2025,7198659,1 h 59 min,
AWS ML Associate,Connect,1.73858E+12,Mon Feb 03 12:21:00 GMT+01:00 2025,1.73859E+12,Mon Feb 03 13:48:28 GMT+01:00 2025,5205502,1 h 26 min,
Process Emotions,Connect,1.73858E+12,Mon Feb 03 12:26:00 GMT+01:00 2025,1.73858E+12,Mon Feb 03 12:27:43 GMT+01:00 2025,60000,1 min,
Coding,Emotional Work,1.73858E+12,Mon Feb 03 12:46:00 GMT+01:00 2025,1.73858E+12,Mon Feb 03 12:47:43 GMT+01:00 2025,60000,1 min,
Guilt free Media,Work,1.73858E+12,Mon Feb 03 12:56:00 GMT+01:00 2025,1.73859E+12,Mon Feb 03 13:34:04 GMT+01:00 2025,2240820,37 min,
Public Speaking,Connect,1.73859E+12,Mon Feb 03 13:26:00 GMT+01:00 2025,1.73859E+12,Mon Feb 03 13:43:28 GMT+01:00 2025,995916,16 min,
w_Start-up,Active,1.73859E+12,Mon Feb 03 13:31:00 GMT+01:00 2025,1.73859E+12,Mon Feb 03 14:27:00 GMT+01:00 2025,3307928,55 min,
Job Search,Relax & Wonder,1.73859E+12,Mon Feb 03 15:20:00 GMT+01:00 2025,1.73859E+12,Mon Feb 03 15:43:11 GMT+01:00 2025,1338435,22 min,
Tech Config,Emotional Work,1.73859E+12,Mon Feb 03 15:39:00 GMT+01:00 2025,1.73859E+12,Mon Feb 03 15:40:52 GMT+01:00 2025,60000,1 min,
AWS AI,Emotional Work,1.73859E+12,Mon Feb 03 15:45:00 GMT+01:00 2025,1.7386E+12,Mon Feb 03 16:06:27 GMT+01:00 2025,1234099,20 min,
Snooze,Work,1.7386E+12,Mon Feb 03 16:42:00 GMT+01:00 2025,1.7386E+12,Mon Feb 03 17:09:09 GMT+01:00 2025,1576208,26 min,
Arts & Culture,Emotional Work,1.7386E+12,Mon Feb 03 17:01:00 GMT+01:00 2025,1.7386E+12,Mon Feb 03 18:32:53 GMT+01:00 2025,5460466,1 h 31 min,
Sleep,Sleep,1.7386E+12,Mon Feb 03 17:13:00 GMT+01:00 2025,1.7386E+12,Mon Feb 03 17:47:00 GMT+01:00 2025,2040000,34 min,
Meditate Affir Bodyscan,Emotional Work,1.7386E+12,Mon Feb 03 17:47:00 GMT+01:00 2025,1.7386E+12,Mon Feb 03 17:48:52 GMT+01:00 2025,60000,1 min,
Walk/Bike/Pack/Look,Connect,1.7386E+12,Mon Feb 03 17:59:00 GMT+01:00 2025,1.73861E+12,Mon Feb 03 20:42:54 GMT+01:00 2025,9781970,2 h 43 min,
Work Distractions,Work,1.7386E+12,Mon Feb 03 18:21:00 GMT+01:00 2025,1.7386E+12,Mon Feb 03 18:22:52 GMT+01:00 2025,60000,1 min,
Wellness ,Connect,1.73861E+12,Mon Feb 03 19:13:00 GMT+01:00 2025,1.73861E+12,Mon Feb 03 21:31:35 GMT+01:00 2025,8262197,2 h 17 min,
Private Impact,Relax & Wonder,1.73861E+12,Mon Feb 03 19:34:00 GMT+01:00 2025,1.73861E+12,Mon Feb 03 20:06:45 GMT+01:00 2025,1912413,31 min,
Daily Planning,Screen Relaxation,1.73862E+12,Mon Feb 03 23:02:00 GMT+01:00 2025,1.73863E+12,Tue Feb 04 00:49:27 GMT+01:00 2025,6394742,1 h 46 min,
Wellness ,Relax & Wonder,1.73863E+12,Tue Feb 04 00:47:00 GMT+01:00 2025,1.73863E+12,Tue Feb 04 01:40:42 GMT+01:00 2025,3170060,52 min,
Wellness ,Screen Relaxation,1.73863E+12,Tue Feb 04 00:52:00 GMT+01:00 2025,1.73863E+12,Tue Feb 04 02:58:45 GMT+01:00 2025,7552520,2 h 5 min,
Arts & Culture,Connect,1.73863E+12,Tue Feb 04 01:36:00 GMT+01:00 2025,1.73863E+12,Tue Feb 04 01:57:31 GMT+01:00 2025,1238172,20 min,
Sleep,Sleep,1.73863E+12,Tue Feb 04 01:44:00 GMT+01:00 2025,1.73866E+12,Tue Feb 04 09:18:00 GMT+01:00 2025,27240000,7 h 34 min,
Social,Relax & Wonder,1.73866E+12,Tue Feb 04 09:18:00 GMT+01:00 2025,1.73866E+12,Tue Feb 04 09:19:52 GMT+01:00 2025,60000,1 min,
Finance & Paperwork,Work,1.73866E+12,Tue Feb 04 10:02:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 12:28:07 GMT+01:00 2025,8714343,2 h 25 min,
Public Speaking,Emotional Avoidance,1.73866E+12,Tue Feb 04 10:18:00 GMT+01:00 2025,1.73866E+12,Tue Feb 04 10:58:23 GMT+01:00 2025,2370769,39 min,
Dating ,Connect,1.73866E+12,Tue Feb 04 10:28:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 11:31:29 GMT+01:00 2025,3756275,1 h 2 min,
Hygiene & Styling,Screen Relaxation,1.73866E+12,Tue Feb 04 11:28:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 13:41:19 GMT+01:00 2025,7946191,2 h 12 min,
Home,Active,1.73867E+12,Tue Feb 04 11:52:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 11:53:52 GMT+01:00 2025,60000,1 min,
AWS AI,Screen Relaxation,1.73867E+12,Tue Feb 04 12:00:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 13:29:15 GMT+01:00 2025,5302619,1 h 28 min,
Tech News,Active,1.73867E+12,Tue Feb 04 13:13:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 13:20:33 GMT+01:00 2025,400627,6 min,
w_Start-up,Emotional Work,1.73867E+12,Tue Feb 04 13:35:00 GMT+01:00 2025,1.73867E+12,Tue Feb 04 14:14:06 GMT+01:00 2025,2293485,38 min,
Social,Relax & Wonder,1.73867E+12,Tue Feb 04 13:49:00 GMT+01:00 2025,1.73868E+12,Tue Feb 04 14:42:11 GMT+01:00 2025,3138951,52 min,
AWS AI,Active,1.73868E+12,Tue Feb 04 14:44:00 GMT+01:00 2025,1.73868E+12,Tue Feb 04 14:45:52 GMT+01:00 2025,60000,1 min,
w_Start-up,Screen Relaxation,1.73868E+12,Tue Feb 04 14:55:00 GMT+01:00 2025,1.73868E+12,Tue Feb 04 14:56:52 GMT+01:00 2025,60000,1 min,
AWS ML Associate,Emotional Work,1.73868E+12,Tue Feb 04 16:21:00 GMT+01:00 2025,1.73869E+12,Tue Feb 04 18:42:20 GMT+01:00 2025,8427220,2 h 20 min,
Sleep,Sleep,1.73868E+12,Tue Feb 04 17:02:00 GMT+01:00 2025,1.73869E+12,Tue Feb 04 17:36:00 GMT+01:00 2025,2040000,34 min,
Social,Emotional Avoidance,1.73869E+12,Tue Feb 04 17:36:00 GMT+01:00 2025,1.73869E+12,Tue Feb 04 19:25:17 GMT+01:00 2025,6504768,1 h 48 min,
Tech Config,Work,1.73869E+12,Tue Feb 04 17:48:00 GMT+01:00 2025,1.73869E+12,Tue Feb 04 18:31:53 GMT+01:00 2025,2581015,43 min,
Public Speaking,Work,1.7387E+12,Tue Feb 04 20:52:00 GMT+01:00 2025,1.7387E+12,Tue Feb 04 21:56:58 GMT+01:00 2025,3845454,1 h 4 min,
Cooking,Work,1.73871E+12,Tue Feb 04 23:00:00 GMT+01:00 2025,1.73871E+12,Tue Feb 04 23:27:56 GMT+01:00 2025,1623255,27 min,
Work-Tech Play,Active,1.73871E+12,Tue Feb 04 23:11:00 GMT+01:00 2025,1.73872E+12,Wed Feb 05 01:32:42 GMT+01:00 2025,8450008,2 h 20 min,
Private Impact,Emotional Avoidance,1.73871E+12,Tue Feb 04 23:27:00 GMT+01:00 2025,1.73871E+12,Wed Feb 05 00:01:24 GMT+01:00 2025,2011523,33 min,
Sleep,Sleep,1.73871E+12,Wed Feb 05 00:57:00 GMT+01:00 2025,1.73875E+12,Wed Feb 05 10:24:00 GMT+01:00 2025,34020000,9 h 27 min,
Hobbies,Active,1.73875E+12,Wed Feb 05 10:24:00 GMT+01:00 2025,1.73875E+12,Wed Feb 05 11:28:11 GMT+01:00 2025,3798802,1 h 3 min,
Dating ,Relax & Wonder,1.73875E+12,Wed Feb 05 10:35:00 GMT+01:00 2025,1.73876E+12,Wed Feb 05 12:42:12 GMT+01:00 2025,7579295,2 h 6 min,
Belonging Architecture ,Active,1.73875E+12,Wed Feb 05 11:01:00 GMT+01:00 2025,1.73875E+12,Wed Feb 05 11:02:52 GMT+01:00 2025,60000,1 min,
Job Search,Emotional Avoidance,1.73875E+12,Wed Feb 05 11:12:00 GMT+01:00 2025,1.73876E+12,Wed Feb 05 13:47:39 GMT+01:00 2025,9286201,2 h 34 min,
Wellness ,Emotional Avoidance,1.73875E+12,Wed Feb 05 11:16:00 GMT+01:00 2025,1.73875E+12,Wed Feb 05 11:17:52 GMT+01:00 2025,60000,1 min,
Private Impact,Relax & Wonder,1.73875E+12,Wed Feb 05 11:27:00 GMT+01:00 2025,1.73876E+12,Wed Feb 05 14:07:32 GMT+01:00 2025,9579203,2 h 39 min,
Tech News,Emotional Avoidance,1.73875E+12,Wed Feb 05 11:39:00 GMT+01:00 2025,1.73875E+12,Wed Feb 05 12:01:31 GMT+01:00 2025,1298906,21 min,
Work Architecture ,Screen Relaxation,1.73876E+12,Wed Feb 05 12:39:00 GMT+01:00 2025,1.73876E+12,Wed Feb 05 13:10:29 GMT+01:00 2025,1836406,30 min,
